attempt_num,board_number,board_label,screen_type,board_score,running_total,death,death_num,lives,frame,bonus_timer
402,380,380 (Loop 2: Board 124),Grey,8500,8434700,true,22,15,1405308,5100
402,380,380 (Loop 2: Board 124),Grey,21900,8456600,false,,15,1407607,
403,381,381 (Loop 2: Board 125),Gold,14900,8471500,false,,15,1410200,
404,382,382 (Loop 2: Board 126),Blue,15000,8486500,false,,15,1411266,
405,383,383 (Loop 2: Board 127),Grey,27000,8513500,false,,15,1415355,
406,384,384 (Loop 2: Board 128),Gold,13200,8526700,false,,15,1418918,
407,385,385 (Loop 2: Board 129),Blue,25100,8551800,false,,15,1423315,
408,386,386 (Loop 2: Board 130),Grey,27600,8579400,false,,15,1427115,
409,387,387 (Loop 2: Board 131),Gold,13400,8592800,false,,15,1430174,
410,388,388 (Loop 2: Board 132),Blue,26100,8618900,false,,15,1434135,
411,389,389 (Loop 2: Board 133),Grey,26900,8645800,false,,15,1438270,
412,390,390 (Loop 2: Board 134),Gold,13700,8659500,false,,15,1440857,
413,391,391 (Loop 2: Board 135),Blue,24900,8684400,false,,15,1445342,
414,392,392 (Loop 2: Board 136),Grey,27400,8711800,false,,15,1449245,
415,393,393 (Loop 2: Board 137),Gold,13500,8725300,false,,15,1452244,
416,394,394 (Loop 2: Board 138),Blue,26200,8751500,false,,15,1456123,
417,395,395 (Loop 2: Board 139),Grey,27800,8779300,false,,15,1459825,
418,396,396 (Loop 2: Board 140),Gold,14000,8793300,false,,15,1462440,
419,397,397 (Loop 2: Board 141),Blue,24300,8817600,false,,15,1467449,
420,398,398 (Loop 2: Board 142),Grey,27200,8844800,false,,15,1471458,
421,399,399 (Loop 2: Board 143),Gold,13600,8858400,false,,15,1474125,
422,400,400 (Loop 2: Board 144),Blue,25500,8883900,false,,15,1478300,
423,401,401 (Loop 2: Board 145),Grey,28600,8912500,false,,15,1481638,
424,402,402 (Loop 2: Board 146),Gold,13400,8925900,false,,15,1485093,
425,403,403 (Loop 2: Board 147),Blue,25400,8951300,false,,15,1489370,
426,404,404 (Loop 2: Board 148),Grey,27200,8978500,false,,15,1493314,
427,405,405 (Loop 2: Board 149),Gold,13300,8991800,false,,15,1496397,
428,406,406 (Loop 2: Board 150),Blue,26600,9018400,false,,15,1500105,
429,407,407 (Loop 2: Board 151),Grey,27800,9046200,false,,15,1503795,
430,408,408 (Loop 2: Board 152),Gold,13400,9059600,false,,15,1506856,
431,409,409 (Loop 2: Board 153),Blue,24300,9083900,false,,15,1512233,
432,410,410 (Loop 2: Board 154),Grey,27400,9111300,false,,15,1516161,
433,411,411 (Loop 2: Board 155),Gold,13700,9125000,false,,15,1519358,
434,412,412 (Loop 2: Board 156),Blue,24300,9149300,false,,15,1524112,
436,413,413 (Loop 2: Board 157),Grey,16900,9166200,true,23,14,1527397,3000
436,413,413 (Loop 2: Board 157),Grey,15400,9181600,false,,14,1528778,
437,414,414 (Loop 2: Board 158),Gold,14900,9196500,false,,14,1531087,
438,415,415 (Loop 2: Board 159),Blue,15300,9211800,false,,14,1532162,
439,416,416 (Loop 2: Board 160),Blue,25200,9237000,false,,14,1536487,
440,417,417 (Loop 2: Board 161),Blue,24300,9261300,false,,14,1541531,
441,418,418 (Loop 2: Board 162),Blue,24300,9285600,false,,14,1546801,
442,419,419 (Loop 2: Board 163),Blue,24300,9309900,false,,14,1551577,
